iter	Logloss	Accuracy
331	0.2847338176	0.9035667107
332	0.2843890076	0.9035667107
333	0.2841888145	0.9035667107
334	0.2839674827	0.9035667107
335	0.2836793769	0.9035667107
336	0.2830987578	0.9022457067
337	0.2829414698	0.9022457067
338	0.2825008504	0.9035667107
339	0.2824670991	0.9035667107
340	0.2822468935	0.9048877147
341	0.2818921617	0.9035667107
342	0.2816395364	0.9035667107
343	0.2811395555	0.9022457067
344	0.2807787564	0.9035667107
345	0.2806904406	0.9022457067
346	0.2806313057	0.9022457067
347	0.280362576	0.9035667107
348	0.2800928266	0.9035667107
349	0.2797298767	0.9048877147
350	0.2794710221	0.9048877147
351	0.2793217035	0.9048877147
352	0.2790254579	0.9048877147
353	0.2788045323	0.9048877147
354	0.2781828124	0.9048877147
355	0.2775987941	0.9048877147
356	0.2773966747	0.9048877147
357	0.2768692476	0.9062087186
358	0.2768105776	0.9048877147
359	0.2767332157	0.9048877147
360	0.2761934522	0.9075297226
361	0.2759711637	0.9048877147
362	0.2754685992	0.9075297226
363	0.2750868294	0.9075297226
364	0.2743689153	0.9062087186
365	0.2739508272	0.9048877147
366	0.2736483374	0.9062087186
367	0.2732690523	0.9062087186
368	0.2730558691	0.9062087186
369	0.2727771943	0.9075297226
370	0.272570766	0.9075297226
371	0.272377735	0.9062087186
372	0.2718862767	0.9062087186
373	0.2716423514	0.9075297226
374	0.271338277	0.9075297226
375	0.2711699904	0.9075297226
376	0.2711255253	0.9075297226
377	0.2708540652	0.9075297226
378	0.2708146091	0.9075297226
379	0.2706530731	0.9075297226
380	0.2704919868	0.9075297226
381	0.2701574868	0.9075297226
382	0.269607658	0.9062087186
383	0.2693343698	0.9062087186
384	0.269204865	0.9062087186
385	0.2690429457	0.9075297226
386	0.2689904621	0.9075297226
387	0.2686289075	0.9101717305
388	0.2684508033	0.9088507266
389	0.2679119767	0.9101717305
390	0.2677026321	0.9101717305
391	0.2673222181	0.9101717305
392	0.2670210152	0.9088507266
393	0.2667446683	0.9088507266
394	0.2661632954	0.9088507266
395	0.265731866	0.9088507266
396	0.2656324271	0.9088507266
397	0.2655645577	0.9088507266
398	0.2654013052	0.9088507266
399	0.2650234756	0.9088507266
400	0.2646449002	0.9088507266
401	0.2645059231	0.9114927345
402	0.263847238	0.9114927345
403	0.2637102968	0.9114927345
404	0.2632261587	0.9114927345
405	0.2628526594	0.9114927345
406	0.2622406086	0.9128137384
407	0.2619939523	0.9128137384
408	0.261876129	0.9128137384
409	0.261545385	0.9128137384
410	0.2615275572	0.9128137384
411	0.2612170152	0.9128137384
412	0.2609027517	0.9114927345
413	0.2605950207	0.9128137384
414	0.2604659562	0.9128137384
415	0.2601838066	0.9128137384
416	0.2599616997	0.9128137384
417	0.2597914557	0.9128137384
418	0.2596934331	0.9128137384
419	0.259260526	0.9128137384
420	0.258904313	0.9128137384
421	0.2588633354	0.9128137384
422	0.25859854	0.9128137384
423	0.2584155895	0.9128137384
424	0.258349158	0.9128137384
425	0.2579961625	0.9141347424
426	0.2578974801	0.9141347424
427	0.2576842888	0.9141347424
428	0.2574765786	0.9141347424
429	0.2571624094	0.9154557464
430	0.257133409	0.9154557464
431	0.2567459192	0.9167767503
432	0.256089792	0.9167767503
433	0.2559345471	0.9167767503
434	0.255534377	0.9194187583
435	0.2552884872	0.9194187583
436	0.2549122255	0.9194187583
437	0.2543913084	0.9180977543
438	0.254372582	0.9180977543
439	0.254193981	0.9194187583
440	0.2536769367	0.9194187583
441	0.2533930501	0.9207397622
442	0.2528740245	0.9207397622
443	0.2525964948	0.9207397622
444	0.2522276347	0.9207397622
445	0.2520673603	0.9207397622
446	0.2520308964	0.9207397622
447	0.2518400503	0.9207397622
448	0.2516040956	0.9207397622
449	0.2512734348	0.9207397622
450	0.250795	0.9207397622
451	0.2506231259	0.9207397622
452	0.2501775298	0.9207397622
453	0.249817941	0.9207397622
454	0.2494971096	0.9207397622
455	0.249171315	0.9207397622
456	0.2489289392	0.9207397622
457	0.2487329803	0.9207397622
458	0.2486923332	0.9207397622
459	0.2481312955	0.9207397622
460	0.2480043385	0.9207397622
461	0.2479855864	0.9207397622
462	0.2477164317	0.9207397622
463	0.247215307	0.9207397622
464	0.2471935994	0.9207397622
465	0.2466080921	0.9207397622
466	0.2464849056	0.9207397622
467	0.2462680712	0.9207397622
468	0.2461104211	0.9207397622
469	0.2459666603	0.9207397622
470	0.245785071	0.9207397622
471	0.2455872201	0.9207397622
472	0.2454332049	0.9207397622
473	0.2451433999	0.9207397622
474	0.2448173956	0.9207397622
475	0.2442900432	0.9207397622
476	0.2440375638	0.9207397622
477	0.2438479096	0.9207397622
478	0.243630868	0.9207397622
479	0.2432592941	0.9207397622
480	0.2430419728	0.9207397622
481	0.2429508763	0.9207397622
482	0.242470119	0.9207397622
483	0.2421973839	0.9207397622
484	0.2418385156	0.9207397622
485	0.2417411001	0.9207397622
486	0.2417247384	0.9207397622
487	0.241613311	0.9207397622
488	0.2411409522	0.9207397622
489	0.2409527396	0.9207397622
490	0.2404609562	0.9220607662
491	0.2400027082	0.9220607662
492	0.2392847417	0.9220607662
493	0.239153653	0.9220607662
494	0.2389197493	0.9220607662
495	0.2388482706	0.9220607662
496	0.2384462377	0.9220607662
497	0.2380909141	0.9220607662
498	0.2379974485	0.9220607662
499	0.2379323334	0.9220607662
500	0.2377311126	0.9220607662
501	0.2374119008	0.9220607662
502	0.2373043332	0.9220607662
503	0.2371771231	0.9220607662
504	0.237127236	0.9220607662
505	0.2367132832	0.9220607662
506	0.2363361336	0.9220607662
507	0.2361628374	0.9220607662
508	0.2360335137	0.9220607662
509	0.2358531995	0.9220607662
510	0.2357315313	0.9220607662
511	0.2355558626	0.9220607662
512	0.2354085553	0.9220607662
513	0.2352129433	0.9220607662
514	0.2350220515	0.9220607662
515	0.2348955992	0.9220607662
516	0.2348773613	0.9220607662
517	0.2346868825	0.9220607662
518	0.2344398297	0.9207397622
519	0.2344143561	0.9207397622
520	0.2343408815	0.9207397622
521	0.2341615445	0.9207397622
522	0.2340444969	0.9207397622
523	0.2337081658	0.9220607662
524	0.2333777317	0.9220607662
525	0.2333520577	0.9220607662
526	0.2330306159	0.9220607662
527	0.2326116727	0.9233817701
528	0.2319957379	0.9220607662
529	0.2317611406	0.9233817701
530	0.2313585969	0.9260237781
531	0.2311841263	0.9247027741
532	0.2308068072	0.9233817701
533	0.2305999006	0.9233817701
534	0.2303475721	0.9233817701
